rate,type,month,order,year
"20,5",perceived_inflation,Январь,1,2016
"21,1",perceived_inflation,Февраль,2,2016
"18,9",perceived_inflation,Март,3,2016
"18,5",perceived_inflation,Апрель,4,2016
"18,5",perceived_inflation,Май,5,2016
"19,2",perceived_inflation,Июнь,6,2016
"18,6",perceived_inflation,Июль,7,2016
"16,5",perceived_inflation,Август,8,2016
"17,4",perceived_inflation,Сентябрь,9,2016
"15,1",perceived_inflation,Октябрь,10,2016
"17,2",perceived_inflation,Ноябрь,11,2016
"14,8",perceived_inflation,Декабрь,12,2016
14,perceived_inflation,Январь,13,2017
"15,1",perceived_inflation,Февраль,14,2017
14,perceived_inflation,Март,15,2017
"13,8",perceived_inflation,Апрель,16,2017
"12,1",perceived_inflation,Май,17,2017
"12,4",perceived_inflation,Июнь,18,2017
"11,9",perceived_inflation,Июль,19,2017
"11,3",perceived_inflation,Август,20,2017
"11,2",perceived_inflation,Сентябрь,21,2017
"11,2",perceived_inflation,Октябрь,22,2017
"10,4",perceived_inflation,Ноябрь,23,2017
10,perceived_inflation,Декабрь,24,2017
"9,9",perceived_inflation,Январь,25,2018
"9,4",perceived_inflation,Февраль,26,2018
"9,2",perceived_inflation,Март,27,2018
"8,3",perceived_inflation,Апрель,28,2018
"9,2",perceived_inflation,Май,29,2018
"10,6",perceived_inflation,Июнь,30,2018
"10,3",perceived_inflation,Июль,31,2018
"10,4",perceived_inflation,Август,32,2018
"10,2",perceived_inflation,Сентябрь,33,2018
"10,1",perceived_inflation,Октябрь,34,2018
"10,1",perceived_inflation,Ноябрь,35,2018
"10,2",perceived_inflation,Декабрь,36,2018
"10,1",perceived_inflation,Январь,37,2019
"10,6",perceived_inflation,Февраль,38,2019
10,perceived_inflation,Март,39,2019
"10,5",perceived_inflation,Апрель,40,2019
"10,4",perceived_inflation,Май,41,2019
"10,2",perceived_inflation,Июнь,42,2019
"9,9",perceived_inflation,Июль,43,2019
10,perceived_inflation,Август,44,2019
"9,9",perceived_inflation,Сентябрь,45,2019
"9,4",perceived_inflation,Октябрь,46,2019
"8,7",perceived_inflation,Ноябрь,47,2019
"9,4",perceived_inflation,Декабрь,48,2019
"8,6",perceived_inflation,Январь,49,2020
"8,7",perceived_inflation,Февраль,50,2020
"8,3",perceived_inflation,Март,51,2020
,perceived_inflation,Апрель,52,2020
,perceived_inflation,Май,53,2020
,perceived_inflation,Июнь,54,2020
,perceived_inflation,Июль,55,2020
"9,2",perceived_inflation,Август,56,2020
"9,4",perceived_inflation,Сентябрь,57,2020
